Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
127,2005,NBA,1,7,TOR,Charlie Villanueva,20.313,F,us,UConn,2006,2016,656,20.7,10.4,4.6,0.8,0.5,0.5,0.435,0.484,0.341,0.772,22.6,0.08
128,2005,NBA,1,8,NYK,Channing Frye,22.048,C-F,us,Arizona,2006,2019,890,22.2,8.7,4.5,1,0.5,0.6,0.44,0.477,0.388,0.822,38.9,0.094
129,2005,NBA,1,9,GSW,Ike Diogu,21.296,F,us,Arizona State,2006,2012,225,12.4,6,3.1,0.3,0.2,0.3,0.509,0.509,0.5,0.786,6.5,0.112
130,2005,NBA,1,10,LAL,Andrew Bynum,17.249,C,us,NA,2006,2014,418,25.6,11.5,7.7,1.2,0.3,1.6,0.556,0.557,0.111,0.69,37.4,0.168
131,2005,NBA,1,11,ORL,Fran Vázquez,22.064,,es,NA,,,,,,,,,,,,,,,
132,2005,NBA,1,12,LAC,Yaroslav Korolev,18.057,F,ru,NA,2006,2007,34,4.9,1.1,0.5,0.4,0.2,0,0.283,0.294,0.25,0.625,-0.1,-0.024
133,2005,NBA,1,13,CHA,Sean May,21.09,F,us,UNC,2006,2010,119,15.7,6.9,4,1,0.4,0.4,0.458,0.462,0.231,0.746,2.6,0.068
134,2005,NBA,1,14,MIN,Rashad McCants,20.281,G,us,UNC,2006,2009,249,20.2,10,2,1.3,0.7,0.2,0.431,0.467,0.368,0.741,3.6,0.035
135,2005,NBA,1,15,NJN,Antoine Wright,21.148,G-F,us,Texas A&M,2006,2011,297,19.2,5.4,2.3,1,0.5,0.2,0.412,0.467,0.304,0.674,3.1,0.026
136,2005,NBA,1,16,TOR,Joey Graham,23.023,F,us,Oklahoma State,2006,2011,377,16.2,5.9,2.8,0.5,0.4,0.1,0.483,0.503,0.3,0.815,7.8,0.061
137,2005,NBA,1,17,IND,Danny Granger,22.075,F,us,New Mexico,2006,2015,586,31.5,16.8,4.9,1.9,1,0.8,0.434,0.463,0.38,0.848,48.5,0.126
138,2005,NBA,1,18,BOS,Gerald Green,19.158,G-F,us,NA,2006,2019,658,19.8,9.7,2.5,0.9,0.5,0.3,0.417,0.469,0.361,0.818,18.4,0.068
139,2005,NBA,1,19,MEM,Hakim Warrick,22.361,F,us,Syracuse,2006,2013,526,20.2,9.4,4,0.8,0.4,0.3,0.49,0.499,0.191,0.726,20.4,0.092
140,2005,NBA,1,20,DEN,Julius Hodge,21.228,G,us,NC State,2006,2007,23,4.3,1.2,0.7,0.8,0.3,0,0.44,0.44,,0.5,0,0.003
141,2005,NBA,1,21,PHO,Nate Robinson,21.033,G,us,Washington,2006,2016,618,22.5,11,2.3,3,0.9,0.1,0.423,0.463,0.36,0.796,27.8,0.096
142,2005,NBA,1,22,DEN,Jarrett Jack,21.249,G,us,Georgia Tech,2006,2018,867,27.8,10.8,2.9,4.6,0.8,0.1,0.44,0.47,0.343,0.855,36.8,0.073
143,2005,NBA,1,23,SAC,Francisco García,23.185,F-G,do,Louisville,2006,2015,549,21.6,7.9,2.6,1.4,0.8,0.7,0.427,0.484,0.357,0.799,18.2,0.074
144,2005,NBA,1,24,HOU,Luther Head,22.22,G,us,Illinois,2006,2011,348,22.4,8.2,2.4,2.1,0.7,0.1,0.423,0.454,0.388,0.773,14.7,0.09
145,2005,NBA,1,25,SEA,Johan Petro,19.157,C,fr,NA,2006,2013,473,15.4,4.7,3.9,0.5,0.4,0.5,0.462,0.464,0.154,0.678,5.5,0.037
146,2005,NBA,1,26,DET,Jason Maxiell,22.136,F,us,Cincinnati,2006,2015,618,18.4,5.6,4.2,0.4,0.4,0.8,0.495,0.496,0,0.564,20.3,0.086
